City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
309,Timmins,CA,48.4669,-81.3331,62.42,94,90,5.75,overcast clouds
310,Boende,CD,-0.2167,20.8667,72.27,93,84,0.56,broken clouds
311,Meadow Lake,US,34.8014,-106.5436,71.96,37,98,9.89,overcast clouds
312,Urumqi,CN,43.801,87.6005,38.35,56,0,2.24,clear sky
313,Talnakh,RU,69.4865,88.3972,17.56,94,59,8.01,broken clouds
314,Nalut,LY,30.3333,10.85,66.24,72,1,11.1,clear sky
315,Gabu,GW,12.2833,-14.2167,74.05,96,98,4.54,overcast clouds
316,Casino,AU,-28.8667,153.05,85.57,45,0,12.66,clear sky
317,Cikeruh,ID,-6.9323,107.7782,82.72,52,11,3.2,few clouds
318,Axim,GH,4.8699,-2.2405,77.36,90,100,8.41,overcast clouds
319,Progreso,MX,21.2833,-89.6667,83.1,83,19,9.82,few clouds
320,Mount Isa,AU,-20.7333,139.5,82.17,51,75,25.32,broken clouds
321,Te Anau,NZ,-45.4167,167.7167,57.97,62,79,6.82,broken clouds
322,Pedernales,DO,18.0384,-71.744,80.92,77,7,3.89,clear sky
323,Grand Gaube,MU,-20.0064,57.6608,72.37,74,2,7.0,clear sky
324,Carutapera,BR,-1.195,-46.02,79.21,81,100,7.38,overcast clouds
325,Almelo,NL,52.3567,6.6625,44.4,94,85,4.21,overcast clouds
326,Vilhena,BR,-12.7406,-60.1458,78.42,61,99,1.21,overcast clouds
327,Hanmer Springs,NZ,-42.5167,172.8167,61.63,47,6,4.9,clear sky
328,Lata,PT,40.1629,-8.3327,62.04,66,28,3.65,scattered clouds
329,Orlik,RU,52.5178,99.825,31.73,61,27,4.47,scattered clouds
330,Beidao,CN,34.5686,105.8933,40.17,99,100,3.78,light rain
331,Tomatlan,MX,19.9333,-105.25,78.73,93,100,1.25,overcast clouds
332,Lorengau,PG,-2.0226,147.2712,82.54,76,100,2.3,overcast clouds
333,Roebourne,AU,-20.7833,117.1333,85.33,26,0,21.03,clear sky
334,Srednekolymsk,RU,67.45,153.6833,22.95,73,17,4.92,few clouds
335,Ternate,ID,0.8,127.4,83.86,76,98,6.78,light rain
336,Makakilo City,US,21.3469,-158.0858,78.62,70,90,12.66,overcast clouds
337,Port Hardy,CA,50.6996,-127.4199,48.38,93,75,5.75,light intensity shower rain
338,Natal,BR,-5.795,-35.2094,79.02,83,20,6.91,few clouds
339,Akdepe,TM,42.0551,59.3788,37.4,55,0,7.58,clear sky
340,Zhigansk,RU,66.7697,123.3711,32.74,99,100,19.48,snow
341,Kaya,BF,13.0917,-1.0844,82.09,53,74,7.27,broken clouds
342,Nome,US,64.5011,-165.4064,43.11,66,14,2.98,few clouds
